,FILIAL,CODSUPERVISOR,Codigo,Data Início,Data Final
9283,1,111,2271,2023-10-17,2023-10-19
21674,1,114,2274,2023-10-17,2023-10-19
17707,1,114,2278,2023-10-17,2023-10-19
14916,1,113,2287,2023-10-17,2023-10-19
67887,1,108,2303,2023-10-17,2023-10-19
42974,1,73,2304,2023-10-17,2023-10-19
19553,1,114,2306,2023-10-17,2023-10-19
3817,1,111,2321,2023-10-17,2023-10-19
17732,1,114,2324,2023-10-17,2023-10-19
60,1,110,2325,2023-10-17,2023-10-19
17736,1,114,2326,2023-10-17,2023-10-19
9295,1,111,2331,2023-10-17,2023-10-19
6921,1,111,2341,2023-10-17,2023-10-19
31327,1,54,2345,2023-10-17,2023-10-19
1221,1,110,2351,2023-10-17,2023-10-19
6934,1,111,2353,2023-10-17,2023-10-19
21684,1,114,2363,2023-10-17,2023-10-19
22860,1,114,2367,2023-10-17,2023-10-19
59946,1,104,2374,2023-10-17,2023-10-19
18663,1,114,2375,2023-10-17,2023-10-19
27062,1,117,2378,2023-10-17,2023-10-19
9316,1,111,2382,2023-10-17,2023-10-19
21692,1,114,2383,2023-10-17,2023-10-19
18664,1,114,2418,2023-10-17,2023-10-19
11273,1,111,2446,2023-10-17,2023-10-19
1939,1,110,2456,2023-10-17,2023-10-19
1231,1,110,2470,2023-10-17,2023-10-19
6949,1,111,2476,2023-10-17,2023-10-19
3826,1,111,2481,2023-10-17,2023-10-19
1250,1,110,2497,2023-10-17,2023-10-19
22865,1,114,2505,2023-10-17,2023-10-19
8296,1,111,2516,2023-10-17,2023-10-19
24091,1,114,2521,2023-10-17,2023-10-19
27399,1,117,2531,2023-10-17,2023-10-19
27065,1,117,2540,2023-10-17,2023-10-19
27078,1,117,2553,2023-10-17,2023-10-19
11278,1,111,2556,2023-10-17,2023-10-19
27081,1,117,2564,2023-10-17,2023-10-19
27091,1,117,2567,2023-10-17,2023-10-19
6953,1,111,2571,2023-10-17,2023-10-19
27097,1,117,2579,2023-10-17,2023-10-19
18672,1,114,2611,2023-10-17,2023-10-19
1257,1,110,2612,2023-10-17,2023-10-19
9331,1,111,2622,2023-10-17,2023-10-19
3846,1,111,2624,2023-10-17,2023-10-19
27408,1,117,2637,2023-10-17,2023-10-19
11306,1,111,2644,2023-10-17,2023-10-19
1264,1,110,2645,2023-10-17,2023-10-19
6974,1,111,2648,2023-10-17,2023-10-19
10706,1,111,2664,2023-10-17,2023-10-19
27099,1,117,2666,2023-10-17,2023-10-19
19567,1,114,2683,2023-10-17,2023-10-19
11949,1,113,2688,2023-10-17,2023-10-19
17750,1,114,2690,2023-10-17,2023-10-19
1267,1,110,2691,2023-10-17,2023-10-19
17765,1,114,2695,2023-10-17,2023-10-19
6112,1,111,2709,2023-10-17,2023-10-19
1955,1,110,2718,2023-10-17,2023-10-19
25964,1,117,2719,2023-10-17,2023-10-19
79,1,110,2720,2023-10-17,2023-10-19
10714,1,111,2730,2023-10-17,2023-10-19
3865,1,111,2734,2023-10-17,2023-10-19
22879,1,114,2735,2023-10-17,2023-10-19
13542,1,113,2736,2023-10-17,2023-10-19
8303,1,111,2737,2023-10-17,2023-10-19
22886,1,114,2738,2023-10-17,2023-10-19
8310,1,111,2761,2023-10-17,2023-10-19
16607,1,113,2766,2023-10-17,2023-10-19
1280,1,110,2775,2023-10-17,2023-10-19
21718,1,114,2791,2023-10-17,2023-10-19
18691,1,114,2796,2023-10-17,2023-10-19
18706,1,114,2802,2023-10-17,2023-10-19
27421,1,117,2806,2023-10-17,2023-10-19
9337,1,111,2811,2023-10-17,2023-10-19
9360,1,111,2824,2023-10-17,2023-10-19
3877,1,111,2827,2023-10-17,2023-10-19
849,1,110,2854,2023-10-17,2023-10-19
15646,1,113,2862,2023-10-17,2023-10-19
1290,1,110,2865,2023-10-17,2023-10-19
6989,1,111,2885,2023-10-17,2023-10-19
18721,1,114,2887,2023-10-17,2023-10-19
27101,1,117,2888,2023-10-17,2023-10-19
17769,1,114,2896,2023-10-17,2023-10-19
80726,1,115,2901,2023-10-17,2023-10-19
6990,1,111,2909,2023-10-17,2023-10-19
17785,1,114,2912,2023-10-17,2023-10-19
11311,1,111,2920,2023-10-17,2023-10-19
17797,1,114,2926,2023-10-17,2023-10-19
6991,1,111,2927,2023-10-17,2023-10-19
3885,1,111,2934,2023-10-17,2023-10-19
3899,1,111,2935,2023-10-17,2023-10-19
3914,1,111,2936,2023-10-17,2023-10-19
3927,1,111,2938,2023-10-17,2023-10-19
7009,1,111,2939,2023-10-17,2023-10-19
22888,1,114,2940,2023-10-17,2023-10-19
3952,1,111,2942,2023-10-17,2023-10-19
18725,1,114,2943,2023-10-17,2023-10-19
22916,1,114,2948,2023-10-17,2023-10-19
22932,1,114,2949,2023-10-17,2023-10-19
3969,1,111,2961,2023-10-17,2023-10-19
7034,1,111,2962,2023-10-17,2023-10-19
3979,1,111,2984,2023-10-17,2023-10-19
9370,1,111,2996,2023-10-17,2023-10-19
57056,1,104,3001,2023-10-17,2023-10-19
3996,1,111,3024,2023-10-17,2023-10-19
14919,1,113,3026,2023-10-17,2023-10-19
19595,1,114,3037,2023-10-17,2023-10-19
15653,1,113,3046,2023-10-17,2023-10-19
45689,1,73,3053,2023-10-17,2023-10-19
8324,1,111,3063,2023-10-17,2023-10-19
27113,1,117,3065,2023-10-17,2023-10-19
8329,1,111,3066,2023-10-17,2023-10-19
16613,1,113,3069,2023-10-17,2023-10-19
10724,1,111,3070,2023-10-17,2023-10-19
22934,1,114,3107,2023-10-17,2023-10-19
4012,1,111,3112,2023-10-17,2023-10-19
5245,1,111,3116,2023-10-17,2023-10-19
4014,1,111,3124,2023-10-17,2023-10-19
5250,1,111,3127,2023-10-17,2023-10-19
9387,1,111,3128,2023-10-17,2023-10-19
10730,1,111,3168,2023-10-17,2023-10-19
11955,1,113,3175,2023-10-17,2023-10-19
18737,1,114,3183,2023-10-17,2023-10-19
16627,1,113,3188,2023-10-17,2023-10-19
21723,1,114,3197,2023-10-17,2023-10-19
19610,1,114,3199,2023-10-17,2023-10-19
24097,1,114,3207,2023-10-17,2023-10-19
60752,1,104,3211,2023-10-17,2023-10-19
18741,1,114,3212,2023-10-17,2023-10-19
19625,1,114,3213,2023-10-17,2023-10-19
10734,1,111,3221,2023-10-17,2023-10-19
19628,1,114,3231,2023-10-17,2023-10-19
24112,1,114,3235,2023-10-17,2023-10-19
17800,1,114,3238,2023-10-17,2023-10-19
8342,1,111,3255,2023-10-17,2023-10-19
9400,1,111,3258,2023-10-17,2023-10-19
1294,1,110,3297,2023-10-17,2023-10-19
35164,1,54,3310,2023-10-17,2023-10-19
24133,1,114,3312,2023-10-17,2023-10-19
11314,1,111,3314,2023-10-17,2023-10-19
27127,1,117,3315,2023-10-17,2023-10-19
17816,1,114,3323,2023-10-17,2023-10-19
19655,1,114,3333,2023-10-17,2023-10-19
17829,1,114,3336,2023-10-17,2023-10-19
18765,1,114,3337,2023-10-17,2023-10-19
11327,1,111,3338,2023-10-17,2023-10-19
17841,1,114,3341,2023-10-17,2023-10-19
5263,1,111,3344,2023-10-17,2023-10-19
27137,1,117,3354,2023-10-17,2023-10-19
9409,1,111,3356,2023-10-17,2023-10-19
5288,1,111,3357,2023-10-17,2023-10-19
27434,1,117,3358,2023-10-17,2023-10-19
27436,1,117,3362,2023-10-17,2023-10-19
24138,1,114,3363,2023-10-17,2023-10-19
4032,1,111,3367,2023-10-17,2023-10-19
21737,1,114,3369,2023-10-17,2023-10-19
38864,1,73,3387,2023-10-17,2023-10-19
9410,1,111,3395,2023-10-17,2023-10-19
10738,1,111,3398,2023-10-17,2023-10-19
1308,1,110,3410,2023-10-17,2023-10-19
863,1,110,3420,2023-10-17,2023-10-19
26486,1,117,3427,2023-10-17,2023-10-19
27448,1,117,3468,2023-10-17,2023-10-19
11342,1,111,3519,2023-10-17,2023-10-19
22936,1,114,3531,2023-10-17,2023-10-19
17854,1,114,3539,2023-10-17,2023-10-19
11350,1,111,3551,2023-10-17,2023-10-19
15660,1,113,3585,2023-10-17,2023-10-19
27459,1,117,3586,2023-10-17,2023-10-19
27144,1,117,3610,2023-10-17,2023-10-19
7038,1,111,3616,2023-10-17,2023-10-19
4054,1,111,3621,2023-10-17,2023-10-19
19670,1,114,3625,2023-10-17,2023-10-19
7048,1,111,3637,2023-10-17,2023-10-19
18771,1,114,3638,2023-10-17,2023-10-19
87,1,110,3657,2023-10-17,2023-10-19
11363,1,111,3675,2023-10-17,2023-10-19
27467,1,117,3678,2023-10-17,2023-10-19
102,1,110,3696,2023-10-17,2023-10-19
11971,1,113,3699,2023-10-17,2023-10-19
9432,1,111,3711,2023-10-17,2023-10-19
25981,1,117,3719,2023-10-17,2023-10-19
11981,1,113,3726,2023-10-17,2023-10-19
1311,1,110,3729,2023-10-17,2023-10-19
27483,1,117,3733,2023-10-17,2023-10-19
17865,1,114,3739,2023-10-17,2023-10-19
7055,1,111,3754,2023-10-17,2023-10-19
25985,1,117,3767,2023-10-17,2023-10-19
17877,1,114,3770,2023-10-17,2023-10-19
1318,1,110,3787,2023-10-17,2023-10-19
13548,1,113,3794,2023-10-17,2023-10-19
11368,1,111,3795,2023-10-17,2023-10-19
14920,1,113,3799,2023-10-17,2023-10-19
11374,1,111,3808,2023-10-17,2023-10-19
7074,1,111,3825,2023-10-17,2023-10-19
16641,1,113,3862,2023-10-17,2023-10-19
112,1,110,3864,2023-10-17,2023-10-19
26496,1,117,3876,2023-10-17,2023-10-19
26503,1,117,3880,2023-10-17,2023-10-19
16654,1,113,3889,2023-10-17,2023-10-19
17889,1,114,3899,2023-10-17,2023-10-19
24143,1,114,3902,2023-10-17,2023-10-19
67905,1,108,3910,2023-10-17,2023-10-19
14935,1,113,3915,2023-10-17,2023-10-19
1330,1,110,3919,2023-10-17,2023-10-19
9438,1,111,3926,2023-10-17,2023-10-19
37967,1,73,3928,2023-10-17,2023-10-19
26520,1,117,3931,2023-10-17,2023-10-19
18786,1,114,3932,2023-10-17,2023-10-19
19680,1,114,3937,2023-10-17,2023-10-19
25991,1,117,3946,2023-10-17,2023-10-19
26000,1,117,3947,2023-10-17,2023-10-19
4055,1,111,3950,2023-10-17,2023-10-19
27154,1,117,3953,2023-10-17,2023-10-19
26002,1,117,3957,2023-10-17,2023-10-19
61740,1,104,3973,2023-10-17,2023-10-19
17891,1,114,3977,2023-10-17,2023-10-19
27156,1,117,3989,2023-10-17,2023-10-19
